City,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Temperature (C),Pressure (millibars),Humidity,Wind Speed (km/h)
Ahmedabad,61,101.25,1.97,13.97,9.08,10.03,0.1,10.9,128.88,30.1,1006.37,34.7,13.17
Ahmedabad,37,75,2.2,10.08,7.15,7.65,0.1,,126.9,29.6,1006.56,34.8,7.75
Ahmedabad,,,82.8,60.2,99.35,,0.1,10.92,127.42,29.4,1007.07,34.8,15.41
Ahmedabad,31.75,63.25,2.15,12.7,8.5,8.63,0.1,11.88,137.7,32.5,1007.37,34.9,8.17
Ahmedabad,37,67.25,1.57,14.35,8.87,7.9,0.1,11.85,153.85,33.4,1012.23,34.9,8
Ahmedabad,48.75,81.5,2.65,20.15,12.88,11.67,0.1,10.75,164.62,27.6,1007.28,34.9,10.88
Ahmedabad,59.25,100.5,1.35,26.2,15.02,12.8,0.25,11.55,165.12,30,1007.18,35,8.46
Ahmedabad,69.5,125.5,3.08,36.67,22.02,10.87,0.25,12.75,141.12,33.5,1007.39,35,10.75
Ahmedabad,75.25,146.25,1.42,31.68,17.97,9.8,0.1,11.17,111.7,37.4,1007.67,35,13.75
Ahmedabad,57.5,120.25,2.02,19.97,12.25,8.57,0.1,7.57,96.05,44.3,1007.98,35,6.75
Ahmedabad,47,83.25,1.45,11.48,7.28,7.98,0.1,7.6,104.88,44.5,1008.57,35,10.88
Ahmedabad,49.25,84,1.15,14.05,8.4,8.55,0.1,8.88,95.52,41.8,1008.87,35,16.62
Ahmedabad,65,111.25,4.55,45.3,27.78,15.97,0.1,8.72,52.93,36.9,1009.44,35,14.79
Ahmedabad,72.75,132.75,0.38,22.4,12.2,16.12,0.3,8.58,79.38,33.3,1010.03,35,11.92
Ahmedabad,70.5,118.5,1.47,21.55,12.65,12.33,0.45,10.35,81.33,35.5,1010.22,35,11.67
Ahmedabad,86,139.5,0.85,19.85,11.25,12.18,0.1,13.5,87.72,35.5,1010.39,34.9,5.25
Ahmedabad,94.25,141.5,0.45,19.3,10.65,11.2,0.08,13.4,77.42,41.7,1010.24,34.9,5.5
Ahmedabad,84,122.25,0.78,17.5,9.98,10.88,0.1,14.25,78.9,43.2,1010,34.9,6
Ahmedabad,76,111.25,0.1,14.98,8,10.35,0.1,12.9,103.88,36.7,1009.98,34.9,9.25
Ahmedabad,70.25,103.5,1.43,18.03,10.77,10.2,0.1,12.82,98,36.8,1010.05,34.9,5
Ahmedabad,74,110.25,2.98,36.93,22.1,9.73,0.1,13.6,82.8,33.6,1010.1,35,5.33
Ahmedabad,79.5,124,2.22,26.42,15.87,11.05,0.1,15.87,100.45,33.4,1010.39,35,8.71
Ahmedabad,68,115.75,1.88,20.97,12.67,11.35,0.1,18.4,113.67,31.1,1010.91,35,9.96
Ahmedabad,63.75,107.5,1.9,14.03,9,11.83,0.1,19.25,136.25,27.1,1011.32,35.1,5.21
Ahmedabad,59.75,102.5,1.65,17.07,10.4,10.62,0.1,17.27,142.58,29.7,1011.61,35.2,5.66
Ahmedabad,59.75,102.5,2.53,16.25,10.68,9.48,0.1,,149.95,30.5,1011.97,35.2,6.54
Ahmedabad,60.75,104.25,81.25,60.75,98.4,2.98,0.1,17.5,148.97,28.6,1012.22,35.2,8
Ahmedabad,58.75,97.75,1.12,14.55,8.65,11.28,0.1,16.45,154.35,33.7,1012.74,35.3,4.29
